Order_ID,Sale_Date,Sales_Rep,Region,Product_Category,Product_Name,Sales_Amount,Quantity_Sold,Unit_Cost,Unit_Price,Customer_Type,Discount,Payment_Method,Sales_Channel
1001,2023-01-10,Alice,North,Electronics,Smartphone X,8900.00,3,2500.00,3000.00,New,5,Credit Card,Online
1002,2023-01-11,Bob,West,Furniture,Office Chair,3200.00,2,1200.00,1600.00,Returning,0,Bank Transfer,Retail
1003,2023-01-12,Charlie,South,Clothing,Winter Jacket,4500.00,5,700.00,900.00,New,10,Cash,Online
1004,2023-01-13,David,East,Food,Gourmet Coffee,1250.00,10,80.00,125.00,Returning,0,Credit Card,Retail
1005,2023-01-14,Eve,North,Electronics,Laptop Pro,15600.00,4,2500.00,3900.00,New,8,Bank Transfer,Online
1006,2023-01-15,Alice,West,Clothing,Sneakers Pro,5900.00,7,500.00,850.00,Returning,0,Cash,Retail
1007,2023-01-16,Bob,South,Furniture,Dining Table,8200.00,3,2200.00,2800.00,New,5,Credit Card,Retail
1008,2023-01-17,Charlie,East,Food,Organic Snacks,1750.00,25,50.00,85.00,New,0,Cash,Online
1009,2023-01-18,David,North,Electronics,Wireless Earbuds,3250.00,5,150.00,650.00,Returning,10,Bank Transfer,Online
1010,2023-01-19,Eve,West,Clothing,Summer Dress,2850.00,10,180.00,285.00,New,0,Cash,Retail
Order_ID,Sale_Date,Sales_Rep,Region,Product_Category,Product_Name,Sales_Amount,Quantity_Sold,Unit_Cost,Unit_Price,Customer_Type,Discount,Payment_Method,Sales_Channel
2011,2023-03-05,Manoj,South,Electronics,Bluetooth Speaker,4200.00,6,550.00,700.00,Returning,Credit Card,Online
2012,2023-03-06,Kavya,East,Home Appliances,Electric Kettle,2800.00,4,500.00,700.00,New,UPI,Retail
2013,2023-03-07,Rahul,North,Stationery,Office Notebook Pack,1500.00,10,90.00,150.00,Returning,Cash,Wholesale
2014,2023-03-07,Pooja,West,Electronics,Wireless Keyboard,3600.00,5,500.00,720.00,New,Credit Card,Online
2015,2023-03-08,Arvind,South,Furniture,Study Table,9800.00,2,4200.00,4900.00,New,Bank Transfer,Retail
2016,2023-03-09,Sneha,East,Clothing,Men Formal Shirt,2700.00,6,300.00,450.00,Returning,UPI,Online
2017,2023-03-10,Vikram,North,Electronics,USB Power Bank,5100.00,10,350.00,510.00,New,Cash,Online
2018,2023-03-11,Nisha,West,Home Appliances,Mixer Grinder,11200.00,2,4800.00,5600.00,Returning,Credit Card,Retail
2019,2023-03-12,Amit,South,Food Items,Packaged Dry Fruits,6400.00,8,650.00,800.00,New,UPI,Wholesale
2020,2023-03-13,Divya,East,Clothing,Women Kurti,3300.00,5,450.00,660.00,Returning,Cash,Retail
Order_ID,Sale_Date,Sales_Rep,Region,Product_Category,Product_Name,Sales_Amount,Quantity_Sold,Unit_Cost,Unit_Price,Customer_Type,Discount,Payment_Method,Sales_Channel
3051,2023-06-18,Sanjay,North,Electronics,Smart LED TV 43 Inch,26800.00,2,12000.00,13400.00,New,Credit Card,Retail
3052,2023-06-19,Meena,South,Home Appliances,Air Fryer 4L,9600.00,3,2800.00,3200.00,Returning,UPI,Online
3053,2023-06-20,Karthik,East,Office Supplies,Laser Printer Toner,7500.00,5,1200.00,1500.00,Returning,Cash,Wholesale
3054,2023-06-21,Ritu,West,Electronics,Noise Cancelling Headphones,14400.00,4,3000.00,3600.00,New,Credit Card,Online
3055,2023-06-22,Ajay,North,Furniture,Wooden Bookshelf,11800.00,2,5200.00,5900.00,New,Bank Transfer,Retail
3056,2023-06-23,Latha,South,Clothing,Cotton Saree,6800.00,4,1400.00,1700.00,Returning,Cash,Retail
3057,2023-06-24,Rohit,East,Electronics,Portable SSD 1TB,21500.00,5,3800.00,4300.00,New,UPI,Online
3058,2023-06-25,Farah,West,Home Appliances,Front Load Washing Machine,38999.00,1,34000.00,38999.00,Returning,Credit Card,Retail
3059,2023-06-26,Naveen,North,Food Items,Premium Basmati Rice 10kg,5400.00,6,750.00,900.00,New,Cash,Wholesale
3060,2023-06-27,Swathi,South,Clothing,Women Denim Jacket,8200.00,4,1800.00,2050.00,Returning,UPI,Online
